Epochs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
75,2.1755353357604927,1.2760679046530108,1.1673932824816022,1.1531662627149342,1.148231549222731,1.1569739238160555,1.1675645221420723,1.167304363928206,1.1733678321234582,1.1763046809605189,1.1737274786668903,1.166766943877462,1.1686682705801041,1.1707823491487346,1.1759324786668153
76,2.17379449783937,1.2748227977144697,1.1657233105889528,1.1524423279205882,1.149149609985958,1.1556074023246765,1.1656419974606482,1.1660026160745673,1.1727767651737444,1.174896179652605,1.174078821556888,1.1648801850791537,1.1677491933009663,1.170446036943321,1.176131822811393
77,2.16488746177004,1.273635032615592,1.1651043317915406,1.150477629043557,1.1471457061516486,1.1545852666995564,1.1649500742467984,1.1679519749730012,1.170934057289628,1.1746145553834544,1.1719681842803376,1.16318343792106,1.1673107087807577,1.168328308668293,1.1738907853280827
78,2.1587161941764945,1.2711852656470404,1.164517775631621,1.1492242703902227,1.146940917857417,1.154304542502419,1.1615952020407605,1.163706769969294,1.1710736561522368,1.1731937001404773,1.1704202533564425,1.1619296729339177,1.1640616190238078,1.1648499203509972,1.174383075850739
79,2.1639350905690935,1.269332443430124,1.1633049714760701,1.148558746423418,1.14621824396231,1.1518580092758428,1.1620137117200273,1.165372983744887,1.168002954642607,1.1727861316756845,1.1686675466764458,1.1624712024029686,1.166066273548564,1.1653256996081827,1.17558612070675
80,2.1603551692649967,1.2679593597822068,1.1615705881520793,1.1474989973360685,1.1445122765357731,1.1509284289156805,1.15968173499589,1.1644363689943742,1.1686736709859966,1.1706989188384116,1.1683098458491026,1.1633838460243966,1.1608832297559644,1.164174758345703,1.1705665991974148
81,2.15409155709584,1.2646186510287565,1.1600678612532604,1.1462520373591807,1.1439797904322055,1.1494115737617994,1.1636457237095381,1.1612631963250415,1.1674191889080912,1.1701134822966064,1.167011730368382,1.1600290940508415,1.161704212993872,1.1637131770451863,1.1712019550570911
82,2.1536417414141695,1.262693549765915,1.1594632798112248,1.1455736325814845,1.1441391719495013,1.1484259054309032,1.1608065121518059,1.160430312417244,1.1672111065661321,1.1669012358372888,1.1666456789556385,1.1592456625509082,1.1620642174267377,1.1623915518567862,1.1704130867762983
83,2.150069374081092,1.261707819007568,1.1588245563819761,1.144491019221373,1.1434779717918657,1.148199911977424,1.1589403496035693,1.1598029528810678,1.1673716818160969,1.1663592685301913,1.1666628855535603,1.1586884729197768,1.1625447789176566,1.1630673942670144,1.1697298872071509
84,2.1458612066166665,1.260062486530436,1.1577760585298025,1.1430492521826763,1.1423128532403983,1.145883436085748,1.1568580375406112,1.1592664855425474,1.164704205020799,1.1673000369753157,1.1651088081856678,1.1558742736657661,1.1596765611992508,1.1607693042911467,1.1678163859985253
